session_pitch,max_shoulder_external_rotation,time_max_shoulder_external_rotation,max_elbow_extension,time_max_elbow_extension,max_hip_shoulder_separation,time_max_hip_shoulder_separation
1601_2,175.7553,1.7556,25.6922,1.8556,33.2345,1.6139
1601_3,173.6189,1.3806,25.9462,1.4833,36.4173,1.2361
1603_1,172.0197,1.1889,31.4964,1.2194,24.9238,1.0667
1603_2,172.1789,1.1667,31.7748,1.2694,24.3157,1.0472
1603_3,170.7834,1.3417,31.5309,1.3694,25.0372,1.2194
1612_1,158.1403,1.2139,24.8484,0.9083,26.5117,1.0944
1612_2,159.1295,1.1806,28.7416,0.8806,27.6116,1.0611
1612_3,157.396,1.0417,24.8445,0.7417,28.1411,0.9194
1615_1,168.8882,1.15,33.2575,1.2917,48.4828,1.025
1615_2,167.0407,1.3056,34.1934,1.4,47.9364,1.1833
1620_1,184.6568,1.4389,29.5417,1.5583,24.6874,1.3139
1620_3,183.5441,1.4139,33.3791,1.8389,24.9623,1.2861
1623_1,172.4469,1.6222,5.9017,1.3583,22.041,1.5139
1623_2,174.501,1.9361,8.8761,1.6694,22.442,1.8278
1623_3,172.2693,1.8139,5.3608,1.5472,21.0338,1.7111
1665_1,162.5317,1.3444,16.1764,1.0222,34.7762,1.2167
1665_2,162.0228,1.4556,17.4755,1.1639,35.9357,1.3361
1665_3,166.9818,1.3222,18.4816,0.9889,35.878,1.2
1668_1,177.9213,1.2028,15.4846,0.8944,37.0796,1.0694
1668_2,175.343,1.4194,15.1996,1.1139,37.8798,1.2917
1668_3,178.1733,1.1889,15.8683,0.875,36.6162,1.0667
1688_1,177.0473,1.6361,31.3664,1.7417,29.0828,1.5056
1688_2,175.9829,1.5417,27.5784,1.65,29.0198,1.4083
1717_1,145.3224,1.2083,18.6403,1.2472,31.3037,1.0639
1717_3,143.309,1.2556,21.2735,1.2944,29.0237,1.1056
1718_1,149.219,1.4889,20.4329,1.1611,35.4,1.375
1718_2,150.7983,1.575,19.2293,1.6778,36.7362,1.4583
1718_3,148.4333,1.4528,19.6843,1.1167,36.4401,1.3361
1729_1,170.5134,2.0806,26.2434,1.6889,34.2213,1.9806
1729_2,170.5958,1.9333,27.2275,1.55,34.9412,1.8306
1729_3,170.2972,2.0639,26.6194,1.675,34.8563,1.9528
1759_1,172.4537,1.4861,23.3885,1.525,26.0232,1.3667
1759_2,172.3286,1.5583,24.4566,1.5944,26.4069,1.4389
1759_3,174.9484,2.2972,24.6948,2.3361,27.5029,2.1806
1778_1,166.3496,0.8667,18.9259,0.5194,38.8262,0.7306
1778_2,167.2183,0.8389,18.6038,0.4889,39.0618,0.7028
1779_1,146.6213,1.075,31.0274,1.2194,28.87,0.9472
1779_2,147.5378,1.0278,29.3095,0.6889,29.7245,0.9
1779_3,149.9542,1.0611,29.273,1.2,30.4804,0.9306
1782_1,148.5305,1.5611,16.9192,1.7083,21.9465,1.4111
1782_2,153.6974,1.7361,11.7231,1.8806,22.6311,1.5778
1782_3,152.8364,1.4944,19.6999,1.6,22.0737,1.3306
1782_4,152.614,1.5306,12.1866,1.6639,24.0099,1.3639
1783_2,178.3174,1.2722,22.0879,1.3722,28.2834,1.1444
